
"# TABLE: Signal absolute counts | Mu10 | mpi=4, mA=1.33"
Cut step,"mpi=4, mA=1.33, ctau=0.1mm","mpi=4, mA=1.33, ctau=1mm","mpi=4, mA=1.33, ctau=10mm","mpi=4, mA=1.33, ctau=100mm",QCD Total (weighted)
N_total,911340,804161,806777,853360,84944973.7
Kin sel.,92101,79995,69352,49050,2243535.5
HLT presel.,8732,30326,26910,5888,219900.0
SV sel. (chi2<10 dR<1.2),8467,27095,20495,4065,44983.2
BDT sel.,3839,17194,14849,2804,21.9

"# TABLE: Signal relative effs wrt N_total | Mu10 | mpi=10, mA=1.00"
Efficiency,"mpi=10, mA=1.00, ctau=0.1mm","mpi=10, mA=1.00, ctau=1mm","mpi=10, mA=1.00, ctau=10mm","mpi=10, mA=1.00, ctau=100mm",QCD Weighted.eff
eps_kin,0.1011,0.0995,0.0860,0.0575,0.0273
eps_HLT,0.0096,0.0377,0.0334,0.0069,0.0027
eps_SV,0.0093,0.0337,0.0254,0.0048,0.0006
eps_BDT,0.0042,0.0214,0.0184,0.0033,0.0000

"# TABLE: lxy=[0,1]cm efficiencies | Mu10 | mpi=10, mA=1.00"
Step,"mpi=10, mA=1.00, ctau=0.1mm","mpi=10, mA=1.00, ctau=1mm","mpi=10, mA=1.00, ctau=10mm","mpi=10, mA=1.00, ctau=100mm"
N_lxy,195034,93909,50055,40979
eps_kin,0.4432,0.3894,0.4320,0.6449
eps_HLT,0.0367,0.1000,0.1200,0.0351
eps_SV,0.0355,0.0723,0.0473,0.0153
eps_BDT,0.0148,0.0329,0.0171,0.0025

"# TABLE: lxy=[1,10]cm efficiencies | Mu10 | mpi=10, mA=1.00"
Step,"mpi=10, mA=1.00, ctau=0.1mm","mpi=10, mA=1.00, ctau=1mm","mpi=10, mA=1.00, ctau=10mm","mpi=10, mA=1.00, ctau=100mm"
N_lxy,11737,81275,59977,27375
eps_kin,0.4218,0.4951,0.4259,0.4989
eps_HLT,0.1321,0.2394,0.1812,0.0715
eps_SV,0.1295,0.2336,0.1551,0.0502
eps_BDT,0.0803,0.1617,0.1022,0.0281

"# TABLE: lxy=[10,100]cm efficiencies | Mu10 | mpi=10, mA=1.00"
Step,"mpi=10, mA=1.00, ctau=0.1mm","mpi=10, mA=1.00, ctau=1mm","mpi=10, mA=1.00, ctau=10mm","mpi=10, mA=1.00, ctau=100mm"
N_lxy,1591,5408,41406,18507
eps_kin,0.4381,0.5867,0.5316,0.4787
eps_HLT,0.0157,0.2718,0.2406,0.1339
eps_SV,0.0113,0.2439,0.2119,0.1109
eps_BDT,0.0019,0.1784,0.1891,0.1041

"# TABLE: Signal absolute counts | Mu10 | mpi=1, mA=0.33"
Cut step,"mpi=1, mA=0.33, ctau=0.1mm","mpi=1, mA=0.33, ctau=1mm","mpi=1, mA=0.33, ctau=10mm","mpi=1, mA=0.33, ctau=100mm",QCD Total (weighted)
N_total,912670,828649,812380,842040,84944973.7
Kin sel.,44953,39602,29806,39810,2243535.5
HLT presel.,1755,8827,5967,995,219900.0
SV sel. (chi2<10 dR<1.2),1645,7389,4071,670,44983.2
BDT sel.,614,4481,2403,343,21.9

"# TABLE: Signal relative effs wrt N_total | Mu10 | mpi=1, mA=0.33"
Efficiency,"mpi=1, mA=0.33, ctau=0.1mm","mpi=1, mA=0.33, ctau=1mm","mpi=1, mA=0.33, ctau=10mm","mpi=1, mA=0.33, ctau=100mm",QCD Weighted.eff
eps_kin,0.0493,0.0478,0.0367,0.0473,0.0273
eps_HLT,0.0019,0.0107,0.0073,0.0012,0.0027
eps_SV,0.0018,0.0089,0.0050,0.0008,0.0006
eps_BDT,0.0007,0.0054,0.0030,0.0004,0.0000

"# TABLE: lxy=[0,1]cm efficiencies | Mu10 | mpi=1, mA=0.33"
Step,"mpi=1, mA=0.33, ctau=0.1mm","mpi=1, mA=0.33, ctau=1mm","mpi=1, mA=0.33, ctau=10mm","mpi=1, mA=0.33, ctau=100mm"
N_lxy,225899,130306,63698,42550
eps_kin,0.1731,0.1511,0.1859,0.5913
eps_HLT,0.0039,0.0204,0.0215,0.0071
eps_SV,0.0035,0.0128,0.0087,0.0035
eps_BDT,0.0005,0.0034,0.0019,0.0003

"# TABLE: lxy=[1,10]cm efficiencies | Mu10 | mpi=1, mA=0.33"
Step,"mpi=1, mA=0.33, ctau=0.1mm","mpi=1, mA=0.33, ctau=1mm","mpi=1, mA=0.33, ctau=10mm","mpi=1, mA=0.33, ctau=100mm"
N_lxy,20216,79130,57468,23830
eps_kin,0.2756,0.2082,0.1795,0.4107
eps_HLT,0.0428,0.0619,0.0405,0.0128
eps_SV,0.0419,0.0582,0.0283,0.0086
eps_BDT,0.0247,0.0411,0.0165,0.0042

"# TABLE: lxy=[10,100]cm efficiencies | Mu10 | mpi=1, mA=0.33"
Step,"mpi=1, mA=0.33, ctau=0.1mm","mpi=1, mA=0.33, ctau=1mm","mpi=1, mA=0.33, ctau=10mm","mpi=1, mA=0.33, ctau=100mm"
N_lxy,1116,8241,29777,10920
eps_kin,0.2509,0.4161,0.2551,0.4340
eps_HLT,0.0134,0.1537,0.0760,0.0353
eps_SV,0.0108,0.1349,0.0634,0.0288
eps_BDT,0.0027,0.0955,0.0448,0.0213

"# TABLE: Signal absolute counts | Mu10 | mpi=10, mA=3.33"
Cut step,"mpi=10, mA=3.33, ctau=0.1mm","mpi=10, mA=3.33, ctau=1mm","mpi=10, mA=3.33, ctau=10mm","mpi=10, mA=3.33, ctau=100mm",QCD Total (weighted)
N_total,809720,932645,914920,884107,84944973.7
Kin sel.,52860,60542,56247,38630,2243535.5
HLT presel.,4838,22582,26618,9327,219900.0
SV sel. (chi2<10 dR<1.2),4658,20184,21345,6427,44983.2
BDT sel.,417,5008,11172,4395,21.9

"# TABLE: Signal relative effs wrt N_total | Mu10 | mpi=10, mA=3.33"
Efficiency,"mpi=10, mA=3.33, ctau=0.1mm","mpi=10, mA=3.33, ctau=1mm","mpi=10, mA=3.33, ctau=10mm","mpi=10, mA=3.33, ctau=100mm",QCD Weighted.eff
eps_kin,0.0653,0.0649,0.0615,0.0437,0.0273
eps_HLT,0.0060,0.0242,0.0291,0.0105,0.0027
eps_SV,0.0058,0.0216,0.0233,0.0073,0.0006
eps_BDT,0.0005,0.0054,0.0122,0.0050,0.0000

"# TABLE: lxy=[0,1]cm efficiencies | Mu10 | mpi=10, mA=3.33"
Step,"mpi=10, mA=3.33, ctau=0.1mm","mpi=10, mA=3.33, ctau=1mm","mpi=10, mA=3.33, ctau=10mm","mpi=10, mA=3.33, ctau=100mm"
N_lxy,122549,116925,48251,26007
eps_kin,0.4175,0.3862,0.3402,0.4650
eps_HLT,0.0388,0.1277,0.1256,0.0605
eps_SV,0.0375,0.1103,0.0625,0.0229
eps_BDT,0.0033,0.0185,0.0110,0.0039

"# TABLE: lxy=[1,10]cm efficiencies | Mu10 | mpi=10, mA=3.33"
Step,"mpi=10, mA=3.33, ctau=0.1mm","mpi=10, mA=3.33, ctau=1mm","mpi=10, mA=3.33, ctau=10mm","mpi=10, mA=3.33, ctau=100mm"
N_lxy,5384,28926,68908,33929
eps_kin,0.2262,0.5074,0.4293,0.4117
eps_HLT,0.0115,0.2598,0.2219,0.1180
eps_SV,0.0089,0.2493,0.1980,0.0792
eps_BDT,0.0013,0.0979,0.1009,0.0479

"# TABLE: lxy=[10,100]cm efficiencies | Mu10 | mpi=10, mA=3.33"
Step,"mpi=10, mA=3.33, ctau=0.1mm","mpi=10, mA=3.33, ctau=1mm","mpi=10, mA=3.33, ctau=10mm","mpi=10, mA=3.33, ctau=100mm"
N_lxy,1180,1586,16926,25166
eps_kin,0.4008,0.4407,0.6043,0.4966
eps_HLT,0.0127,0.0794,0.3109,0.1487
eps_SV,0.0085,0.0479,0.2766,0.1248
eps_BDT,0.0000,0.0050,0.2177,0.1060

"# TABLE: QCD absolute counts | Mu10"
Cut step,15-20,20-30,30-50,50-80,80-120,120-170,170-300,300-470,470-600,600-800,800-1000,1000,Total (weighted)
N_total,99893684,73492871,76220894,85529593,73976427,77415491,70689529,63272480,57103681,64482622,61350117,63944969,84944973.7
Kin sel.,1716623,1800943,2908785,5103493,6496627,9415298,11986686,16460293,20142796,27600096,31920975,40338696,2243535.5
HLT presel.,92316,156057,355970,769363,1103051,1703781,2219945,2950423,3342424,4242218,4475097,5094794,219900.0
SV sel.,11836,25842,74347,194742,334570,600321,914260,1476423,1939099,2705426,3134757,3916365,44983.2
BDT sel.,16,10,43,61,48,58,39,44,46,69,51,61,21.9

"# TABLE: QCD relative efficiencies wrt N_total | Mu10"
Efficiency,15-20,20-30,30-50,50-80,80-120,120-170,170-300,300-470,470-600,600-800,800-1000,1000,Weighted.eff
eps_kin,0.0172,0.0245,0.0382,0.0597,0.0878,0.1216,0.1696,0.2601,0.3527,0.4280,0.5203,0.6308,0.0273
eps_HLT,0.0009,0.0021,0.0047,0.0090,0.0149,0.0220,0.0314,0.0466,0.0585,0.0658,0.0729,0.0797,0.0027
eps_SV,0.0001,0.0004,0.0010,0.0023,0.0045,0.0078,0.0129,0.0233,0.0340,0.0420,0.0511,0.0612,0.0006
eps_BDT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
