
"# TABLE: Signal absolute counts | DoubleMu | mpi=4, mA=1.33"
Cut step,"mpi=4, mA=1.33, ctau=0.1mm","mpi=4, mA=1.33, ctau=1mm","mpi=4, mA=1.33, ctau=10mm","mpi=4, mA=1.33, ctau=100mm",QCD Total (weighted)
eps_BDT,0.0478,0.0944,0.0416,0.0056,9.35e-07

"# TABLE: Signal relative effs wrt previous step | DoubleMu | mpi=4, mA=0.40"
Efficiency,"mpi=4, mA=0.40, ctau=0.1mm","mpi=4, mA=0.40, ctau=1mm","mpi=4, mA=0.40, ctau=10mm","mpi=4, mA=0.40, ctau=100mm",QCD Weighted.eff
eps_kin,0.3527,0.3409,0.2479,0.1135,0.1470
eps_HLT,0.5890,0.5042,0.2689,0.0786,0.0458
eps_SV,0.9926,0.9626,0.8919,0.8922,0.9715
eps_BDT,0.2319,0.5706,0.6992,0.7010,1.46e-04

"# TABLE: 95% CL upper limit on B(H->psipsibar) | DoubleMu | mpi=4, mA=0.40 | sigma_ggH=43.9 pb, L=109.95/fb, B(A'->mumu)=0.44"
FPR,BDT threshold,"mpi=4, mA=0.40, ctau=0.1mm","mpi=4, mA=0.40, ctau=1mm","mpi=4, mA=0.40, ctau=10mm","mpi=4, mA=0.40, ctau=100mm"
1e-01,0.6071,0.009993,0.008712,0.02516,0.1928
1e-02,0.9605,0.004254,0.002993,0.008336,0.06404
1e-03,0.9959,0.002594,0.001207,0.003068,0.02329
1e-04,0.9996,0.008208,0.001298,0.00314,0.0265

"# TABLE: Asymptotic significance p0 (Z) | DoubleMu | mpi=4, mA=0.40 | sigmaxBR=0.439 pb, L=109.95/fb"
FPR,BDT threshold,"mpi=4, mA=0.40, ctau=0.1mm","mpi=4, mA=0.40, ctau=1mm","mpi=4, mA=0.40, ctau=10mm","mpi=4, mA=0.40, ctau=100mm"
1e-01,0.6071,"0.0499 (1.65 sigma)","0.0295 (1.89 sigma)","0.257 (0.65 sigma)","0.466 (0.09 sigma)"
1e-02,0.9605,"5.54e-05 (3.87 sigma)","1.97e-08 (5.49 sigma)","0.0242 (1.97 sigma)","0.399 (0.26 sigma)"
1e-03,0.9959,"1.21e-10 (6.33 sigma)","3.42e-42 (13.56 sigma)","4.25e-08 (5.36 sigma)","0.24 (0.71 sigma)"
1e-04,0.9996,"0.0223 (2.01 sigma)","3.63e-36 (12.50 sigma)","8.78e-08 (5.22 sigma)","0.267 (0.62 sigma)"

"# TABLE: lxy=[0,1]cm efficiencies | DoubleMu | mpi=4, mA=0.40"
Step,"mpi=4, mA=0.40, ctau=0.1mm","mpi=4, mA=0.40, ctau=1mm","mpi=4, mA=0.40, ctau=10mm","mpi=4, mA=0.40, ctau=100mm"
N_lxy,301977,179263,94058,61544
eps_kin,0.9685,0.9525,0.9373,0.9383
eps_HLT,0.5698,0.3474,0.1446,0.0297
eps_SV,0.5661,0.3240,0.1117,0.0246
eps_BDT,0.1169,0.1037,0.0280,0.0033
